   KEYNUMBER;           POSTO/BACIA/REE/SUB;          DATA;ENA
20240729246o;                          246o;      20240729;0.0
20240730246o;                          246o;      20240730;0.0
20240731246o;                          246o;      20240731;0.0
20240801246o;                          246o;      20240801;0.0
20240802246o;                          246o;      20240802;0.0
20240803246o;                          246o;      20240803;0.0
20240804246o;                          246o;      20240804;0.0
20240805246o;                          246o;      20240805;0.0
20240806246o;                          246o;      20240806;0.0
20240807246o;                          246o;      20240807;0.0
20240808246o;                          246o;      20240808;0.0
20240809246o;                          246o;      20240809;0.0
20240810246o;                          246o;      20240810;0.0
20240811246o;                          246o;      20240811;0.0
20240812246o;                          246o;      20240812;0.0
20240813246o;                          246o;      20240813;0.0
20240814246o;                          246o;      20240814;0.0
20240815246o;                          246o;      20240815;0.0
20240816246o;                          246o;      20240816;0.0
20240817246o;                          246o;      20240817;0.0
20240818246o;                          246o;      20240818;0.0
20240819246o;                          246o;      20240819;0.0
20240820246o;                          246o;      20240820;0.0
20240821246o;                          246o;      20240821;0.0
20240822246o;                          246o;      20240822;0.0
20240823246o;                          246o;      20240823;0.0
20240824246o;                          246o;      20240824;0.0
20240825246o;                          246o;      20240825;0.0
20240826246o;                          246o;      20240826;0.0
20240827246o;                          246o;      20240827;0.0
20240828246o;                          246o;      20240828;0.0
20240829246o;                          246o;      20240829;0.0
20240830246o;                          246o;      20240830;0.0
20240831246o;                          246o;      20240831;0.0
20240901246o;                          246o;      20240901;0.0
20240902246o;                          246o;      20240902;0.0
20240903246o;                          246o;      20240903;0.0
20240904246o;                          246o;      20240904;0.0
20240905246o;                          246o;      20240905;0.0
20240906246o;                          246o;      20240906;0.0
20240907246o;                          246o;      20240907;0.0
20240908246o;                          246o;      20240908;0.0
20240909246o;                          246o;      20240909;0.0
20240910246o;                          246o;      20240910;0.0
20240911246o;                          246o;      20240911;0.0
20240912246o;                          246o;      20240912;0.0
20240913246o;                          246o;      20240913;0.0
20240914246o;                          246o;      20240914;0.0
20240915246o;                          246o;      20240915;0.0
20240916246o;                          246o;      20240916;0.0
20240917246o;                          246o;      20240917;0.0
20240918246o;                          246o;      20240918;0.0
20240919246o;                          246o;      20240919;0.0
20240920246o;                          246o;      20240920;0.0
20240921246o;                          246o;      20240921;0.0
20240922246o;                          246o;      20240922;0.0
20240923246o;                          246o;      20240923;0.0
20240924246o;                          246o;      20240924;0.0
20240925246o;                          246o;      20240925;0.0
20240926246o;                          246o;      20240926;0.0
20240927246o;                          246o;      20240927;0.0
20240928246o;                          246o;      20240928;0.0
20240929246o;                          246o;      20240929;0.0
20240930246o;                          246o;      20240930;0.0
20241001246o;                          246o;      20241001;0.0
20241002246o;                          246o;      20241002;0.0
20241003246o;                          246o;      20241003;0.0
20241004246o;                          246o;      20241004;0.0
20241005246o;                          246o;      20241005;0.0
20241006246o;                          246o;      20241006;0.0
20241007246o;                          246o;      20241007;0.0
20241008246o;                          246o;      20241008;0.0
20241009246o;                          246o;      20241009;0.0
20241010246o;                          246o;      20241010;0.0
20241011246o;                          246o;      20241011;0.0
20240729266e;                          266e;      20240729;0.0
20240730266e;                          266e;      20240730;0.0
20240731266e;                          266e;      20240731;0.0
20240801266e;                          266e;      20240801;0.0
20240802266e;                          266e;      20240802;0.0
20240803266e;                          266e;      20240803;0.0
20240804266e;                          266e;      20240804;0.0
20240805266e;                          266e;      20240805;0.0
20240806266e;                          266e;      20240806;0.0
20240807266e;                          266e;      20240807;0.0
20240808266e;                          266e;      20240808;0.0
20240809266e;                          266e;      20240809;0.0
20240810266e;                          266e;      20240810;0.0
20240811266e;                          266e;      20240811;0.0
20240812266e;                          266e;      20240812;0.0
20240813266e;                          266e;      20240813;0.0
20240814266e;                          266e;      20240814;0.0
20240815266e;                          266e;      20240815;0.0
20240816266e;                          266e;      20240816;0.0
20240817266e;                          266e;      20240817;0.0
20240818266e;                          266e;      20240818;0.0
20240819266e;                          266e;      20240819;0.0
20240820266e;                          266e;      20240820;0.0
20240821266e;                          266e;      20240821;0.0
20240822266e;                          266e;      20240822;0.0
20240823266e;                          266e;      20240823;0.0
20240824266e;                          266e;      20240824;0.0
20240825266e;                          266e;      20240825;0.0
20240826266e;                          266e;      20240826;0.0
20240827266e;                          266e;      20240827;0.0
20240828266e;                          266e;      20240828;0.0
20240829266e;                          266e;      20240829;0.0
20240830266e;                          266e;      20240830;0.0
20240831266e;                          266e;      20240831;0.0
20240901266e;                          266e;      20240901;0.0
20240902266e;                          266e;      20240902;0.0
20240903266e;                          266e;      20240903;0.0
20240904266e;                          266e;      20240904;0.0
20240905266e;                          266e;      20240905;0.0
20240906266e;                          266e;      20240906;0.0
20240907266e;                          266e;      20240907;0.0
20240908266e;                          266e;      20240908;0.0
20240909266e;                          266e;      20240909;0.0
20240910266e;                          266e;      20240910;0.0
20240911266e;                          266e;      20240911;0.0
20240912266e;                          266e;      20240912;0.0
20240913266e;                          266e;      20240913;0.0
20240914266e;                          266e;      20240914;0.0
20240915266e;                          266e;      20240915;0.0
20240916266e;                          266e;      20240916;0.0
20240917266e;                          266e;      20240917;0.0
20240918266e;                          266e;      20240918;0.0
20240919266e;                          266e;      20240919;0.0
20240920266e;                          266e;      20240920;0.0
20240921266e;                          266e;      20240921;0.0
20240922266e;                          266e;      20240922;0.0
20240923266e;                          266e;      20240923;0.0
20240924266e;                          266e;      20240924;0.0
20240925266e;                          266e;      20240925;0.0
20240926266e;                          266e;      20240926;0.0
20240927266e;                          266e;      20240927;0.0
20240928266e;                          266e;      20240928;0.0
20240929266e;                          266e;      20240929;0.0
20240930266e;                          266e;      20240930;0.0
20241001266e;                          266e;      20241001;0.0
20241002266e;                          266e;      20241002;0.0
20241003266e;                          266e;      20241003;0.0
20241004266e;                          266e;      20241004;0.0
20241005266e;                          266e;      20241005;0.0
20241006266e;                          266e;      20241006;0.0
20241007266e;                          266e;      20241007;0.0
20241008266e;                          266e;      20241008;0.0
20241009266e;                          266e;      20241009;0.0
20241010266e;                          266e;      20241010;0.0
20241011266e;                          266e;      20241011;0.0
 20240729025;                           025;      20240729;75.1
 20240730025;                           025;      20240730;74.2
 20240731025;                           025;      20240731;73.7
 20240801025;                           025;      20240801;72.1
 20240802025;                           025;      20240802;71.4
 20240803025;                           025;      20240803;72.2
 20240804025;                           025;      20240804;77.3
 20240805025;                           025;      20240805;82.5
 20240806025;                           025;      20240806;82.7
 20240807025;                           025;      20240807;82.3
 20240808025;                           025;      20240808;82.5
 20240809025;                           025;      20240809;82.4
 20240810025;                           025;      20240810;80.4
 20240811025;                           025;      20240811;79.4
 20240812025;                           025;      20240812;80.2
 20240813025;                           025;      20240813;80.2
 20240814025;                           025;      20240814;81.4
 20240815025;                           025;      20240815;80.8
 20240816025;                           025;      20240816;80.6
 20240817025;                           025;      20240817;80.6
 20240818025;                           025;      20240818;80.7
 20240819025;                           025;      20240819;80.0
 20240820025;                           025;      20240820;78.2
 20240821025;                           025;      20240821;76.1
 20240822025;                           025;      20240822;74.6
 20240823025;                           025;      20240823;73.6
 20240824025;                           025;      20240824;73.1
 20240825025;                           025;      20240825;71.8
 20240826025;                           025;      20240826;71.0
 20240827025;                           025;      20240827;71.1
 20240828025;                           025;      20240828;70.1
 20240829025;                           025;      20240829;69.6
